City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,yulinshi,38.2906,109.7494,3.64,34,100,1.98,CN,1710013728
339,magadan,59.5667,150.8,-11.37,95,100,3.54,RU,1710013728
340,quiindy,-25.9667,-57.2667,33.13,54,100,2.34,PY,1710013729
341,inhambane,-23.865,35.3833,27.99,78,40,5.36,MZ,1710013729
342,mezhdurechensk,53.6942,88.0603,-9.26,96,100,1.42,RU,1710013729
343,cabedelo,-6.9811,-34.8339,31.37,75,92,4.56,BR,1710013564
344,bogande,12.9714,-0.1436,32.81,10,49,2.4,BF,1710013730
345,mar del plata,-38.0023,-57.5575,24.01,54,0,6.71,AR,1710013599
346,iskateley,67.6803,53.1512,-22.77,100,100,1.34,RU,1710013731
347,betioky,-23.7167,44.3833,23.97,81,100,1.76,MG,1710013731
348,nabire,-3.3667,135.4833,25.02,92,100,1.14,ID,1710013731
349,valparaiso,-33.0393,-71.6273,31.13,39,0,6.17,CL,1710013557
350,isla mujeres,21.2311,-86.731,30.09,73,0,6.9,MX,1710013732
351,pathein,16.7833,94.7333,23.29,51,5,3.87,MM,1710013732
352,howrah,22.5892,88.3103,21.0,68,0,0.0,IN,1710013733
353,ayaviri,-14.8864,-70.5889,17.73,42,94,1.52,PE,1710013733
354,linxia chengguanzhen,35.6003,103.2064,0.0,87,100,2.9,CN,1710013733
355,rio grande,-32.035,-52.0986,30.06,64,84,2.62,BR,1710013734
356,kill devil hills,36.0307,-75.676,17.0,95,100,6.69,US,1710013734
357,baturaja,-4.1333,104.1667,22.78,99,99,0.9,ID,1710013707
358,corner brook,48.9667,-57.9484,-0.91,67,8,3.04,CA,1710013734
359,ingeniero jacobacci,-41.3427,-69.5448,19.19,28,14,10.28,AR,1710013735
360,cole harbour,44.6724,-63.4751,6.66,69,96,2.37,CA,1710013735
361,huron,41.1501,-82.5499,6.69,85,100,6.75,US,1710013736
